trip_type,canonical_column,role,dtype,sample
fhv,affiliated_base_number,other,large_string,
fhv,dispatching_base_num,other,large_string,B00009
fhv,do_location_id,spatial,int64,
fhv,dropoff_datetime,time,timestamp[us],
fhv,pickup_datetime,time,timestamp[us],45658.01388888889
fhv,pu_location_id,spatial,int64,
fhv,sr_flag,flags,int64,
fhvhv,access_a_ride_flag,flags,large_string,N
fhvhv,airport_fee,fare_economics,double,0
fhvhv,base_passenger_fare,fare_economics,double,18.21
fhvhv,bcf,other,double,0.46
fhvhv,congestion_surcharge,other,double,2.75
fhvhv,dispatching_base_num,other,large_string,B03404
fhvhv,do_location_id,spatial,int32,
fhvhv,driver_pay,other,double,15.71
fhvhv,dropoff_datetime,time,timestamp[us],45658.0375
fhvhv,hvfhs_license_num,other,large_string,HV0003
fhvhv,on_scene_datetime,other,timestamp[us],45658.02152777778
fhvhv,originating_base_num,other,large_string,B03404
fhvhv,pickup_datetime,time,timestamp[us],45658.02291666667
fhvhv,pu_location_id,spatial,int32,
fhvhv,request_datetime,other,timestamp[us],45658.01944444444
fhvhv,sales_tax,fare_economics,double,1.5
fhvhv,shared_match_flag,flags,large_string,N
fhvhv,shared_request_flag,flags,large_string,N
fhvhv,tips,other,double,0
fhvhv,tolls,other,double,0
fhvhv,trip_miles,trip_metrics,double,1.32
fhvhv,trip_time,trip_metrics,int64,1259
fhvhv,wav_match_flag,flags,large_string,N
fhvhv,wav_request_flag,flags,large_string,N
fhvhv,cbd_congestion_fee,fare_economics,double,0
green,congestion_surcharge,other,double,0
green,do_location_id,spatial,int32,
green,ehail_fee,fare_economics,double,
green,extra,other,double,1
green,fare_amount,fare_economics,double,24.7
green,improvement_surcharge,other,double,1
green,dropoff_datetime,time,timestamp[us],45658.01180555556
green,pickup_datetime,time,timestamp[us],45658.00208333333
green,mta_tax,fare_economics,double,0.5
green,passenger_count,trip_metrics,int64,1
green,payment_type,other,int64,1
green,pu_location_id,spatial,int32,
green,rate_code_id,other,int64,
green,store_and_fwd_flag,flags,large_string,N
green,tip_amount,fare_economics,double,6.8
green,tolls_amount,fare_economics,double,0
green,total_amount,fare_economics,double,34
green,trip_distance,trip_metrics,double,5.93
green,trip_type,trip_metrics,int64,1
green,vendor_id,other,int32,
green,cbd_congestion_fee,fare_economics,double,0
yellow,mta_tax,fare_economics,double,0.5
yellow,passenger_count,trip_metrics,int64,1
yellow,payment_type,other,int64,1
yellow,trip_distance,trip_metrics,double,1.6
yellow,airport_fee,fare_economics,double,
yellow,congestion_surcharge,other,double,2.5
yellow,do_location_id,spatial,int32,
yellow,extra,other,double,3.5
yellow,fare_amount,fare_economics,double,10
yellow,improvement_surcharge,other,double,1
yellow,pu_location_id,spatial,int32,
yellow,rate_code_id,other,int64,
yellow,store_and_fwd_flag,flags,large_string,N
yellow,tip_amount,fare_economics,double,3
yellow,tolls_amount,fare_economics,double,0
yellow,total_amount,fare_economics,double,18
yellow,dropoff_datetime,time,timestamp[us],45658.01805555556
yellow,pickup_datetime,time,timestamp[us],45658.0125
yellow,vendor_id,other,int32,
yellow,cbd_congestion_fee,fare_economics,double,0
